left,center,right,bot,speechStart,speechEnd,time,comments,question difficulty,duration
1,0,0,0,0,0,184428,,,0
1,0,0,0,0,0,184432,,,0
1,0,0,0,0,0,184435,,,0
1,0,0,0,0,0,184438,,,0
1,0,0,0,0,0,184442,,,0
1,0,0,0,0,0,184445,,,0
1,0,0,0,0,0,184448,,,0
1,0,0,0,0,0,184452,,,0
1,0,0,0,0,0,184455,,,0
1,0,0,0,0,0,184458,,,0
1,0,0,0,0,0,184462,,,0
1,0,0,0,0,0,184465,,,0
1,0,0,0,0,0,184468,,,0
1,0,0,0,0,0,184472,,,0
1,0,0,0,0,0,184475,,,0
1,0,0,0,0,0,184478,,,0
1,0,0,0,0,0,184482,,,0
1,0,0,0,0,0,184485,,,0
1,0,0,0,0,0,184488,,,0
1,0,0,0,0,0,184492,,,0
1,0,0,0,0,0,184495,,,0
1,0,0,0,0,0,184498,,,0
1,0,0,0,0,0,184502,,,0
1,0,0,0,0,0,184505,,,0
1,0,0,0,0,0,184508,,,0
1,0,0,0,0,0,184512,,,0
1,0,0,0,0,0,184515,,,0
1,0,0,0,0,0,184518,,,0
1,0,0,0,0,0,184522,,,0
1,0,0,0,0,0,184525,,,0
1,0,0,0,0,0,184528,,,0
1,0,0,0,0,0,184532,,,0
1,0,0,0,0,0,184535,,,0
1,0,0,0,0,0,184538,,,0
1,0,0,0,0,0,184542,,,0
1,0,0,0,0,0,184545,,,0
1,0,0,0,0,0,184548,,,0
1,0,0,0,0,0,184552,,,0
1,0,0,0,0,0,184555,,,0
1,0,0,0,0,0,184558,,,0
1,0,0,0,0,0,184562,,,0
1,0,0,0,0,0,184565,,,0
1,0,0,0,0,0,184568,,,0
1,0,0,0,0,0,184572,,,0
1,0,0,0,0,0,184575,,,0
1,0,0,0,0,0,184578,,,0
1,0,0,0,0,0,184582,,,0
1,0,0,0,0,0,184585,,,0
1,0,0,0,0,0,184588,,,0
1,0,0,0,0,0,184592,,,0
1,0,0,0,0,0,184595,,,0
1,0,0,0,0,0,184598,,,0
1,0,0,0,0,0,184602,,,0
1,0,0,0,0,0,184605,,,0
